file	rc	result
test_array.py	1	executed=208 passed=201 failed=7 skipped=19
test_autograd.py	1	executed=53 passed=46 failed=7 skipped=1
test_bf16.py	0	executed=77 passed=77 failed=0 skipped=2
test_blas.py	1	executed=1047 passed=1034 failed=13 skipped=0
test_compile.py	1	executed=67 passed=62 failed=5 skipped=0
test_constants.py	0	executed=3 passed=3 failed=0 skipped=0
test_conv.py	1	executed=26 passed=25 failed=1 skipped=10
test_conv_transpose.py	0	executed=0 passed=0 failed=0 skipped=10
test_device.py	0	executed=10 passed=10 failed=0 skipped=0
test_double.py	0	executed=11 passed=11 failed=0 skipped=0
test_einsum.py	1	executed=12 passed=10 failed=2 skipped=0
test_eval.py	0	executed=14 passed=14 failed=0 skipped=1
test_export_import.py	1	executed=34 passed=33 failed=1 skipped=0
test_fast.py	139	INVALID-REPORT: [Errno 2] No such file or directory: 'receipts/upstream-suite-2026-09-06-py3/py/test_fast.py.xml'
test_fast_sdpa.py	134	INVALID-REPORT: [Errno 2] No such file or directory: 'receipts/upstream-suite-2026-09-06-py3/py/test_fast_sdpa.py.xml'
test_fft.py	1	executed=16 passed=13 failed=3 skipped=4
test_graph.py	0	executed=1 passed=1 failed=0 skipped=0
test_init.py	0	executed=54 passed=54 failed=0 skipped=0
test_linalg.py	1	executed=284 passed=282 failed=2 skipped=0
test_load.py	1	executed=226 passed=212 failed=14 skipped=0
test_losses.py	0	executed=14 passed=14 failed=0 skipped=0
test_memory.py	0	executed=2 passed=2 failed=0 skipped=1
test_nn.py	1	executed=75 passed=69 failed=6 skipped=1
test_ops.py	1	executed=415 passed=370 failed=45 skipped=2
test_optimizers.py	1	executed=25 passed=20 failed=5 skipped=1
test_quantized.py	1	executed=3058 passed=1105 failed=1953 skipped=1
test_random.py	1	executed=14 passed=13 failed=1 skipped=0
test_reduce.py	0	executed=5083 passed=5083 failed=0 skipped=0
test_threads.py	0	executed=2 passed=2 failed=0 skipped=0
test_tree.py	0	executed=6 passed=6 failed=0 skipped=0
test_upsample.py	0	executed=12 passed=12 failed=0 skipped=4
test_vmap.py	1	executed=65 passed=62 failed=3 skipped=0
test_zero_copy.py	0	executed=4 passed=4 failed=0 skipped=2
