         4044 function calls (4043 primitive calls) in 0.147 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.147    0.147 {built-in method builtins.next}
        1    0.000    0.000    0.147    0.147 prefill_probe.py:85(ids)
        1    0.000    0.000    0.147    0.147 prefill_probe.py:87(<genexpr>)
        1    0.000    0.000    0.147    0.147 generate.py:307(generate_step)
        6    0.131    0.022    0.132    0.022 prefill_probe.py:102(timed)
        3    0.000    0.000    0.015    0.005 generate.py:388(_model_call)
        3    0.000    0.000    0.015    0.005 qwen2.py:167(__call__)
        3    0.000    0.000    0.014    0.005 qwen2.py:137(__call__)
       72    0.001    0.000    0.014    0.000 qwen2.py:111(__call__)
        2    0.000    0.000    0.013    0.007 generate.py:396(_step)
       72    0.002    0.000    0.010    0.000 qwen2.py:57(__call__)
      144    0.003    0.000    0.003    0.000 positional_encoding.py:46(__call__)
      504    0.002    0.000    0.003    0.000 quantized.py:270(__call__)
       72    0.001    0.000    0.003    0.000 qwen2.py:94(__call__)
       72    0.002    0.000    0.002    0.000 cache.py:333(update_and_fetch)
      957    0.001    0.000    0.001    0.000 base.py:99(__getattr__)
     1467    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       72    0.000    0.000    0.001    0.000 activations.py:9(swiglu)
       12    0.000    0.000    0.000    0.000 prefill_probe.py:36(read)
      147    0.000    0.000    0.000    0.000 normalization.py:163(__call__)
       72    0.000    0.000    0.000    0.000 activations.py:138(silu)
       72    0.000    0.000    0.000    0.000 base.py:108(scaled_dot_product_attention)
       24    0.000    0.000    0.000    0.000 cache.py:360(state)
        3    0.000    0.000    0.000    0.000 quantized.py:149(__call__)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       76    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 base.py:45(create_attention_mask)
        1    0.000    0.000    0.000    0.000 cache.py:15(make_prompt_cache)
       14    0.000    0.000    0.000    0.000 {built-in method time.monotonic_ns}
        3    0.000    0.000    0.000    0.000 cache.py:393(make_mask)
        2    0.000    0.000    0.000    0.000 sample_utils.py:47(<lambda>)
       12    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        3    0.000    0.000    0.000    0.000 quantized.py:160(as_linear)
        6    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
        1    0.000    0.000    0.000    0.000 qwen2.py:219(layers)
       24    0.000    0.000    0.000    0.000 cache.py:328(__init__)
        1    0.000    0.000    0.000    0.000 generate.py:229(wired_limit)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 generate.py:377(<lambda>)
        3    0.000    0.000    0.000    0.000 cache.py:114(create_attention_mask)
        3    0.000    0.000    0.000    0.000 generate.py:299(maybe_quantize_kv_cache)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}


